Pub Med ID,Answers,MoA,FLAG
30738380,"The mechanism of action and receptor subtype are not explicitly stated in the article for cariprazine, but it is mentioned that it is a dopamine D3-preferring D3/D2 receptor partial agonist in another article mentioned above. The article does not provide information on the mechanism or receptor subtype of risperidone.",Partial Agonist,1
31264510,The receptor(s) are: dopamine. The subtype(s) are: D1 and D5. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: selective dopamine D1/D5 receptor partial agonist.,Partial Agonist,1
25822479,"The drug(s) being evaluated are antipsychotics with 5-HT1A receptor partial agonism, specifically perospirone or aripiprazole. The receptor(s) are: serotonin 5-HT1A. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. There is no information given about specific chemical reactions, so it is not applicable.",Partial Agonist,1
26016467,"The receptor(s) are: dopamine D2. The subtype(s) are: N/A. The binding mode(s) are: full antagonist or partial agonist. Therefore the mechanism of action is dependent on the specific drug being evaluated, either D2-R full antagonist or D2-R partial agonist.",Partial Agonist,1
17628435,"The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode is: partial agonist. Therefore, the mechanism of action is: serotonin-5-HT1A partial agonist.",Partial Agonist,1
27371157,The receptor(s) are: nicotinic acetylcholine. The subtype(s) are: alpha 7. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: alpha 7-nicotinic acetylcholine receptor partial agonist.,Partial Agonist,1
9442338,"The mechanism of action is: partial dopamine agonist. The receptor subtype(s) that the drug is being evaluated with is not explicitly stated, but given the focus on dopamine and antipsychotic properties, it can be assumed that the drug is interacting with dopamine receptors, possibly D2 or other subtypes.",Partial Agonist,1
33691517,"The drug being evaluated is brexpiprazole, which is a dopamine/serotonin receptor partial agonist. The specific receptor subtypes targeted are not specified in the abstract.",Partial Agonist,0
8905533,The receptor(s) are: GABA-A. The subtype(s) are: benzodiazepine-receptor. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: partial benzodiazepine-receptor agonist.,Partial Agonist,0
23968123,"The drug(s) being evaluated in the clinical trial are: dopamine partial agonist and aripiprazole. The receptor(s) are: dopamine. The subtype(s) are: partial agonist. The binding mode(s) are: N/A for aripiprazole and partial agonist for the dopamine partial agonist. Therefore, the mechanism of action for the dopamine partial agonist is dopamine partial agonist. The mechanism of action for aripiprazole is unknown in this context.",Partial Agonist,0
24419307,The receptor(s) are: alpha-7 nicotinic acetylcholine receptor. The subtype(s) is: alpha-7 nAChR. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha-7 nicotinic partial agonist.,Partial Agonist,1
16754836,The receptor(s) are: alpha7 nicotinic acetylcholine receptor. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is alpha7 nicotinic cholinergic partial agonist.,Partial Agonist,1
20728875,The mechanism of action is alpha 7-nicotinic receptor agonist. The receptor subtype evaluated is the alpha 7-nicotinic acetylcholine receptor subtype.,Partial Agonist,1
19637398,The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: partial 5-HT(1A) receptor agonist.,Partial Agonist,1
20033907,The receptor(s) are: dopamine D2. The subtype(s) are: partial agonist. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist,1
19956085,The receptor(s) are: alpha7-nicotinic acetylcholine. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: alpha7-nicotinic acetylcholine receptor partial agonist.,Partial Agonist,1
18381905,The receptor(s) are: alpha(7)-nicotinic. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: alpha(7)-nicotinic receptor partial agonist.,Partial Agonist,1
26900078,"The receptor(s) are: dopamine and serotonin. The subtype(s) are: D2 and 5-HT2A. The binding mode(s) are: partial agonist. Therefore, the mechanism of action is: dopamine D2 receptor partial agonist and serotonin 5-HT2A receptor partial agonist.",Partial Agonist,1
23303043,The receptor(s) are: alpha7 nicotinic acetylcholine receptor. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: alpha7 nicotinic receptor partial agonist.,Partial Agonist,1
11343682,The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: serotonin 5-HT1A partial agonist.,Partial Agonist,1
24549101,"The mechanism of action is: nicotinic Œ±7 receptor agonist. The subtype(s) are: Œ±7. The binding mode(s) are: partial agonist. Therefore, the mechanism of action is: nicotinic Œ±7 partial agonist.",Partial Agonist,1
26940805,The receptor(s) are: nicotinic acetylcholine. The subtype(s) are: α7. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: selective α7 nicotinic acetylcholine receptor partial agonist.,Partial Agonist,1
9718289,The receptor(s) are: NMDA. The subtype(s) are: glycine recognition site of NMDA receptor. The binding mode is: partial agonist. Therefore the mechanism of action can be described as: partial NMDA agonist.,Partial Agonist,0
15474895,"The receptor(s) are: NMDA-associated receptor complex. The subtype(s) are: glycine site. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: D-cycloserine is a partial agonist at the glycine site of the NMDA-associated receptor complex, noncompetitively enhancing NMDA neurotransmission.",Partial Agonist,0
1715608,"There are multiple mechanisms of action (targets of the chemical reaction) and receptor subtypes that the drugs are being evaluated with in this article. They include: 
- Dopamine D2/D3 receptors (blocked by some antipsychotics)
- Dopamine D1 receptors (antagonized by some antipsychotics)
- Serotonin 5HT1 receptors (agonized by some antipsychotics)
- Serotonin 5HT2 receptors (antagonized by some antipsychotics)
- Serotonin 5HT3 receptors (antagonized by some antipsychotics)
- Gamma-amino-butyric-acid-A (GABA-A) benzodiazepine receptors (agonized by some antipsychotics)
- Alpha 1 adrenergic receptors
- Glutamate receptors

The specific mechanisms of action and receptor subtypes targeted vary depending on the specific antipsychotic being evaluated.",Partial Agonist,1
17728426,The receptor(s) are: dopamine D2. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine partial agonist.,Partial Agonist,1
19366489,"The receptor(s) are: dopamine D2. The subtype(s) are: not specified. The binding mode(s) are: partial agonist and full antagonist. Therefore, the mechanism of action is: dopamine partial agonist and full antagonist.",Partial Agonist,1
21068719,The receptor(s) are: benzodiazepine. The subtype(s) are: N/A. The binding mode(s) are: antagonist and partial inverse agonist. Therefore the mechanism of action is: benzodiazepine receptor antagonist and partial inverse agonist.,Partial Agonist,0
25438724,The receptor(s) are: alpha7 nicotinic acetylcholine. The subtype(s) are: alpha7. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: selective alpha7 nicotinic receptor partial agonist.,Partial Agonist,1
