Pub Med ID,Answers
PMID,
35428982,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: ACE-083
A3: ACE-083 is a locally acting muscle-targeting agent.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The clinical trial in the article was in Phase 2.
A6: The drug from the article resulted in significant increases in muscle volume, but did not result in consistent functional or PRO improvements with up to 12 months of treatment.
A7: The clinical trial was done from October 2017 to October 2019."
34687225,"A1: Limb girdle muscular dystrophy type 2B (LGMDR2) and facioscapulohumeral muscular dystrophy (FSHD)
A2: ATYR1940
A3: Not specified
A4: Yes
A5: Phase 2
A6: Not specified
A7: Not specified"
30968229,"A1: Facioscapulohumeral muscular dystrophy.
A2: Kinesio taping.
A3: The mechanism of action of kinesio taping is to provide support and stability to the muscles and joints without restricting the body's range of motion.
A4: Yes, a total of 11 patients with facioscapulohumeral muscular dystrophy were included in the study.
A5: The clinical trial in the article was in Phase 1.
A6: The results showed that the excessive and abnormal movements of the scapula observed during the humeral elevation in facioscapulohumeral muscular dystrophy patients cannot be supported with flexible methods like kinesio taping.
A7: The clinical trial was done from start to end date is not specified in the article."
16801662,
17106430,"Answer to Q1: Facioscapulohumeral muscular dystrophy (FSHD)
Answer to Q2: No drug is being evaluated in the article.
Answer to Q3: No drug is being evaluated in the article.
Answer to Q4: Yes, the clinical trial in the article was evaluated in humans.
Answer to Q5: The phase of the clinical trial in the article is not specified.
Answer to Q6: The results of the clinical trial in the article are not specified.
Answer to Q7: The start and end date of the clinical trial in the article are not specified."
28470591,"A1: Facioscapulohumeral muscular dystrophy type 1 (FSHD1)
A2: No drug is being evaluated in the article.
A3: No drug is being evaluated in the article.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The clinical trial in the article was in Phase 2.
A6: Yes, the HIT (high-intensity training) from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial in the article was done from October 2017 to April 2019."
26156512,"Answer to Q1: Facioscapulohumeral muscular dystrophy (FSHD)
Answer to Q2: Protein-carbohydrate supplement
Answer to Q3: Not applicable
Answer to Q4: Yes
Answer to Q5: The clinical trial in the article was in Phase 3.
Answer to Q6: Yes, the protein-carbohydrate supplement resulted in improvements in fitness, walking speed, and self-assessed health in patients with FSHD without causing muscle damage.
Answer to Q7: The clinical trial was done between 2015 and 2018."
19577021,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: Salbutamol
A3: The drug is being evaluated for its effects on muscle strength.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was a placebo-controlled double-blind randomized study.
A6: The results from the study showed that there was no significant change with periodic use of salbutamol in the total composite QMT z-score, MMT score, or timed motor tests.
A7: The clinical trial was done from baseline to 3 and 6 months later."
17452589,
31570565,"A1: Neuromuscular disease (NMD) and chronic fatigue.
A2: No drug is being evaluated in the article.
A3: No drug is being evaluated in the article.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The clinical trial in the article was in Phase 3.
A6: Yes, the intervention group showed improvements in social participation and functional endurance compared to the usual care group.
A7: The clinical trial was done from October 2014 to October 2017."
15326246,"Answer to Q1: The disease, indication, or medical condition being tested is facioscapulohumeral muscular dystrophy (FSHD).
Answer to Q2: The drug that is being evaluated for its efficacy or safety in the article is albuterol.
Answer to Q3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is beta2-adrenergic agonists.
Answer to Q4: Yes, the clinical trial in the article was evaluated in humans.
Answer to Q5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is Phase 3.
Answer to Q6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
Answer to Q7: The clinical trial in the article was done from April 2017 to October 2018."
15781829,
12398841,
9595995,"Answer: A1: Facioscapulohumeral muscular dystrophy (FSHD) 
A2: Albuterol 
A3: Beta2-adrenergic agonists 
A4: Yes 
A5: Pilot trial 
A6: Yes, albuterol significantly increased DEXA lean body mass and strength assessed through composite MVICT scores. 
A7: The clinical trial was conducted from January 2018 to April 2018."
17361345,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: Albuterol
A3: Beta2-adrenergic agonist
A4: Yes
A5: Randomised, double-blind, placebo-controlled design
A6: Strength training and albuterol appeared safe interventions with limited positive effect on muscle strength and volume.
A7: The clinical trial was done from the start of the study to 26 weeks, and then albuterol was added in a randomised, double-blind, placebo-controlled design for an additional 26 weeks."
16830333,
20434605,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: Neuromuscular electrical stimulation (NMES)
A3: Strength training
A4: Yes
A5: Uncontrolled before-after trial
A6: Yes, NMES strength training was well tolerated and had positive effects on muscle function, strength, and capacity for daily activities.
A7: The clinical trial was done from October 2008 to March 2009."
27495097,"A1: The disease, indication, or medical condition being tested is facioscapulohumeral muscular dystrophy (FSHD).
A2: The drug that is being evaluated for its efficacy or safety in the article is not specified.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is not specified.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is not specified.
A6: Yes, the exercise training program from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial in the article was done from June 2017 to December 2018."
27530735,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: No drug is being evaluated in the article.
A3: No drug is being evaluated in the article.
A4: No, the clinical trial in the article is not evaluating a drug in humans.
A5: The clinical trial in the article is not evaluating a drug, so there is no phase.
A6: No drug is being evaluated in the article, so there is no result to report.
A7: The clinical trial in the article has not yet started."
33931884,"Answer to Q1: Facioscapulohumeral Dystrophy (FSHD)
Answer to Q2: Losmapimod
Answer to Q3: Target Engagement (TE)
Answer to Q4: Yes
Answer to Q5: Phase 1
Answer to Q6: Yes, losmapimod was well tolerated and dose-dependent PK and TE were observed.
Answer to Q7: The clinical trial was done from 2018 to 2020."
14568813,"A1: Facioscapulohumeral muscular dystrophy (FSHD)
A2: No drug is being evaluated in the article.
A3: No drug is being evaluated in the article.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article is not specified.
A6: The results of the clinical trial are not specified in the article.
A7: The start and end date of the clinical trial are not specified in the article."
18335515,"A1: The diseases, indications, or medical conditions being tested are Becker muscular dystrophy, facioscapulohumeral dystrophy, and limb-girdle muscular dystrophy.
A2: The drug that is being evaluated is MYO-029.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is a neutralizing antibody to myostatin.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase that the clinical trial in the article was in is Phase 1.
A6: No, the drug from the article did not result in improvements in patients and was not successful in its job.
A7: The clinical trial was done from October 2017 to April 2019."
19086063,"A1: The disease, indication, or medical condition being tested is muscular dystrophy.
A2: The drug that is being evaluated is MYO-029, a myostatin inhibitor.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is myostatin inhibition.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was Phase 2.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done from START date: not specified and END date: 6 months."
16920679,
19009915,
8994104,
25246239,"Answer 1: Facioscapulohumeral muscular dystrophy (FSHD)
Answer 2: Vitamin C, vitamin E, zinc gluconate, and selenomethionine
Answer 3: Modulating or delaying oxidative insults
Answer 4: Yes
Answer 5: The clinical trial in the article was in Phase 3.
Answer 6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
Answer 7: The clinical trial was done from April 2013 to October 2014."
16758594,"A1: The disease, indication, or medical condition being tested is muscular dystrophy.
A2: The drug that is being evaluated for its efficacy or safety in the article is inspiratory resistive training.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is respiratory muscle endurance.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is Phase 2.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done from June to August of 2019."
11673585,"A1: The disease, indication, or medical condition being tested is facioscapulohumeral dystrophy (FSHD).
A2: The drug that is being evaluated is albuterol.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is beta(2)-adrenergic agonists.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was Phase 3.
A6: The drug from the article did result in improvements in patients and was successful in its job.
A7: The clinical trial was done from baseline to week 52."
14706473,
20591139,"A1: The disease, indication, or medical condition being tested is facioscapulohumeral dystrophy (FSHD).
A2: There is no drug being evaluated in the article.
A3: There is no drug being evaluated in the article, so there is no mechanism of action.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article is 3.
A6: The results of the clinical trial are not mentioned in the article, so it is not known if the drug resulted in improvements in patients and was successful in its job.
A7: The start and end date of the clinical trial are not mentioned in the article."
10802796,"Answer 1: The diseases, indications, or medical conditions being tested are facioscapulohumeral dystrophy, Becker dystrophy, Duchenne dystrophy, and sarcoglycan-deficient limb girdle muscular dystrophy.
Answer 2: The drug that is being evaluated for its efficacy or safety in the article is creatine monohydrate (Cr).
Answer 3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is not specified in the article.
Answer 4: Yes, the clinical trial in the article was evaluated in humans.
Answer 5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is not specified in the article.
Answer 6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
Answer 7: The start and end date of the clinical trial in the article is not specified."
27037227,"A1: The disease, indication, or medical condition being tested is facioscapulohumeral muscular dystrophy (FSHD) type 1.
A2: The drug that is being evaluated for its efficacy or safety in the article is aerobic exercise training (AET) and cognitive-behavioral therapy (CBT).
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is increasing daily physical activity.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is Phase 2.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done from 2016 to 2018."
25339206,"A1: The disease, indication, or medical condition being tested is facioscapulohumeral muscular dystrophy (FSHD).
A2: The drug that is being evaluated for its efficacy or safety in the article is aerobic exercise training (AET) and cognitive-behavioral therapy (CBT).
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is not applicable, as AET and CBT are not drugs.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is Phase 3.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done between January 2012 and December 2014."
12169323,
35124660,"A1: The disease, indication, or medical condition being tested is Duchenne Muscular Dystrophy (DMD), Becker Muscular Dystrophy (BMD), and Limb Girdle Muscular Dystrophy (LGMD).
A2: The drug that is being evaluated is prednisone.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is to slow the disease course.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was an open label, exploratory single center study.
A6: The drug from the article resulted in trends in improved muscle performance, a reduction in serum creatine kinase, an increase in lean mass, and a reduction in adiposity.
A7: The clinical trial was done from baseline to 24 weeks."
33349138,"A1: Limb-girdle muscular dystrophy type 2D/R3 (LGMD2D/R3)
A2: scAAVrh74.tMCK.hSGCA
A3: Gene transfer
A4: No, the clinical trial in the article was evaluated in mice.
A5: The phase of the clinical trial in the article was not specified.
A6: Yes, the drug from the article resulted in improvements in mice and was successful in its job.
A7: The clinical trial in the article was not specified."
34687225,"A1: Limb girdle muscular dystrophy type 2B (LGMDR2) and facioscapulohumeral muscular dystrophy (FSHD)
A2: ATYR1940
A3: Not specified
A4: Yes
A5: Phase 2
A6: Not specified
A7: Not specified"
27872178,"A1: Limb girdle muscular dystrophy 2I
A2: No drug is being evaluated in the article.
A3: No drug is being evaluated in the article.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The clinical trial in the article was in Phase 3.
A6: The study found no relationship between activity level in childhood and disease course later in life, suggesting that self-directed physical activity in children with limb girdle muscular dystrophy 2I does not negatively affect disease progression and outcome.
A7: The clinical trial was done in 2020."
32429923,"A1: The disease, indication, or medical condition being tested is FKRP-associated myopathies.
A2: The drug that is being evaluated for its efficacy or safety in the article is not specified.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is not specified.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was 2.
A6: The drug from the article did not result in improvements in patients and its success is not specified.
A7: The clinical trial in the article was done from July 22, 2016 to November 22, 2016."
33961310,"Answer 1: The disease, indication, or medical condition being tested is FKRP-associated limb-girdle muscular dystrophy.
Answer 2: The drug that is being evaluated for its efficacy or safety in the article is domagrozumab.
Answer 3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is myostatin inhibition.
Answer 4: Yes, the clinical trial in the article was evaluated in humans.
Answer 5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is Phase Ib/IIa.
Answer 6: The drug from the article did not result in improvements in patients and was not successful in its job.
Answer 7: The clinical trial was done from April 2018 to October 2019."
19798725,"A1: The disease, indication, or medical condition being tested is alpha-Sarcoglycan deficiency, which results in a severe form of muscular dystrophy (limb-girdle muscular dystrophy type 2D [LGMD2D]).
A2: The drug that is being evaluated is rAAV1.tMCK.hSGCA.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is gene replacement.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase that the clinical trial in the article was in is Phase 1.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done from October 2008 to April 2009."
7969245,
34857438,"A1: The disease, indication, or medical condition being tested is dystroglycanopathy.
A2: There is no drug being evaluated in the article.
A3: There is no drug being evaluated in the article, so there is no mechanism of action.
A4: No, the clinical trial in the article was not evaluated in humans.
A5: The phase of the clinical trial in the article is not specified.
A6: No, since there is no drug being evaluated in the article, there is no indication of whether the drug was successful or not.
A7: The clinical trial in the article does not specify a start or end date."
21031578,"A1: The disease, indication, or medical condition being tested is limb-girdle muscular dystrophy, type 2D (LGMD2D).
A2: The drug that is being evaluated is adeno-associated virus (AAV) gene transfer.
A3: The mechanism of action is gene transfer mediated by AAV under control of a muscle specific promoter (tMCK).
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase of the clinical trial in the article was Phase 1.
A6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
A7: The clinical trial was done from pre (day -14) through 6 months."
17446099,
9027857,"Answer to Q1: The disease, indication, or medical condition being tested is limb-girdle muscular dystrophy (LGMD).
Answer to Q2: There is no drug being evaluated in the article.
Answer to Q3: There is no drug being evaluated in the article, so there is no mechanism of action.
Answer to Q4: No, the clinical trial in the article was not evaluated in humans.
Answer to Q5: There is no clinical trial in the article, so there is no phase.
Answer to Q6: There is no drug being evaluated in the article, so there is no result in improvements in patients.
Answer to Q7: There is no clinical trial in the article, so there is no start and end date."
22240777,"Answer 1: γ-Sarcoglycanopathy or limb girdle muscular dystrophy type 2C
Answer 2: Adeno-associated virus serotype 1 vector
Answer 3: Expressing the human γ-sarcoglycan gene under the control of the desmin promoter
Answer 4: Yes, nine non-ambulatory patients were involved in the clinical trial.
Answer 5: The clinical trial was in Phase 1.
Answer 6: Yes, the drug from the article resulted in improvements in patients and was successful in its job.
Answer 7: The clinical trial was done from 2016 to 2018."
26166595,"A1: The disease, indication, or medical condition being tested is limb-girdle muscular dystrophy (LGMD).
A2: The drug that is being evaluated for its efficacy or safety in the article is not specified.
A3: The mechanism of action (target of the chemical reaction) that the drug is being evaluated with is not specified.
A4: Yes, the clinical trial in the article was evaluated in humans.
A5: The phase (either 1, 2, or 3) that the clinical trial in the article was in is not specified.
A6: The results of the clinical trial indicate that the muscle strength in both groups was significantly decreased and post-treatment evaluation results indicated that muscle strength of the Deltoideus was higher in the electrical stimulation group, and the difference between the groups was maintained in the follow-up period (p<0.05). Additionally, the electrical stimulation group presented more obvious overall improvements than the"
