Indicator,MoA Type ,MoA,Drug,Title,URL,Author,PMID,Abstract,Date
Narcolepsy,Agonist,"The receptor(s) are: histamine H3. The subtype(s) are: N/A. The binding mode(s) are: inverse agonist. Therefore the mechanism of action is: selective histamine H3 receptor inverse agonist. Additionally, modafinil is a wakefulness-promoting agent.",pitolisant,"Pitolisant versus placebo or modafinil in patients with narcolepsy: a double-blind, randomised trial.",https://pubmed.ncbi.nlm.nih.gov/24107292/,"Dauvilliers Y, Bassetti C, Lammers GJ, Arnulf I, Mayer G, Rodenbeck A, Lehert P, Ding CL, Lecomte JM, Schwartz JC; HARMONY I study group.",24107292,"Narcolepsy is characterised by excessive daytime sleepiness (EDS) and cataplexy. Histamine neurons are crucial to maintain wakefulness. We assessed the safety and efficacy of pitolisant (previously called BF2.649), a selective histamine H3 receptor inverse agonist that activates these neurons, in patients with narcolepsy.
For this double-blind, randomised, parallel-group controlled trial, we recruited patients with narcolepsy from 32 sleep disorder centres in five European countries. Patients were eligible if they were aged 18 years or older, had not taken psychostimulants for at least 14 days, and had EDS (defined as an Epworth Sleepiness Scale [ESS] score of at least 14). Using a computer-generated randomisation sequence, we randomly allocated patients to receive pitolisant, modafinil, or placebo (1:1:1). Treatment lasted 8 weeks: 3 weeks of flexible dosing according to investigator's judgment (10 mg, 20 mg, or 40 mg a day of pitolisant; 100 mg, 200 mg or 400 mg a day of modafinil) followed by 5 weeks of stable dosing. Patients took four tablets a day in a double-dummy design to ensure masking. For the primary analysis, assessed in the intention-to-treat population, we assessed the superiority of pitolisant versus placebo, and the non-inferiority of pitolisant versus modafinil. This trial is registered with ClinicalTrials.gov, number NCT01067222.
Between May 26, 2009, and June 30, 2010, we screened 110 patients, 95 of whom were eligible and randomly assigned to treatment: 30 to placebo, 32 to pitolisant, and 33 to modafinil. Over the 8-week treatment period, mean ESS score reductions were -3·4 (SD 4·2) in the placebo group, -5·8 (6·2) in the pitolisant group, and -6·9 (6·2) in the modafinil group. Our primary analysis of between-group differences in mean ESS score at endpoint (adjusted for baseline) showed pitolisant to be superior to placebo (difference -3·0, 95% CI -5·6 to -0·4; p=0·024), but not non-inferior to modafinil (difference 0·12, 95% CI -2·5 to 2·7; p=0·250). We recorded 22 adverse events with pitolisant, 26 with modafinil, and ten with placebo. Six severe adverse events were treatment-related: one with pitolisant (abdominal discomfort) and five with modafinil (abdominal pain, abnormal behaviour, amphetamine-like withdrawal symptoms, lymphoadenopathy, and inner ear disorders).
Pitolisant at doses up to 40 mg was efficacious on EDS compared with placebo and well tolerated compared with modafinil. If these findings are substantiated in further studies, pitolisant could offer a new treatment option for patients with narcolepsy.
Bioprojet, France.Adult Benzhydryl Compounds / administration & dosage Benzhydryl Compounds / adverse effects Benzhydryl Compounds / pharmacology* Double-Blind Method Female Histamine Agonists / administration & dosage Histamine Agonists / adverse effects Histamine Agonists / pharmacology* Humans Male Middle Aged Modafinil Narcolepsy / drug therapy* Piperidines / administration & dosage Piperidines / adverse effects Piperidines / pharmacology* Placebos Severity of Illness Index Treatment Outcome Wakefulness-Promoting Agents / administration & dosage Wakefulness-Promoting Agents / adverse effects Wakefulness-Promoting Agents / pharmacology* Young Adult",2013 Nov
Narcolepsy,Agonist,None,pitolisant,"Evaluation of the abuse potential of pitolisant, a selective H3-receptor antagonist/inverse agonist, for the treatment of adult patients with narcolepsy with or without cataplexy.",https://pubmed.ncbi.nlm.nih.gov/31626696/,"Setnik B, McDonnell M, Mills C, Scart-GrÃ¨s C, Robert P, Dayno JM, Schwartz JC.",31626696,"To evaluate the human abuse potential of pitolisant, a selective histamine 3 (H3)-receptor antagonist/inverse agonist recently approved by the US Food and Drug Administration for the treatment of excessive daytime sleepiness in adult patients with narcolepsy.
Nondependent, recreational stimulant users able to distinguish phentermine HCl 60 mg from placebo in a drug discrimination test were randomized in a four-period, double-blind, crossover design to receive single doses of pitolisant 35.6 mg (therapeutic dose), pitolisant 213.6 mg (supratherapeutic dose), phentermine HCl 60 mg, and placebo. The primary endpoint was maximum effect (Emax) on the 100-point Drug Liking (""at this moment"") visual analog scale.
In 38 study completers (73.7% male; 65.8% white; mean age, 33.3 years), mean Drug Liking Emax was significantly greater for phentermine versus pitolisant 35.6 mg (mean difference, 21.4; p < 0.0001) and pitolisant 213.6 mg (mean difference, 19.7; p < 0.0001). Drug Liking Emax was similar for pitolisant (both doses) and placebo. Similarly, for key secondary measures of Overall Drug Liking and willingness to Take Drug Again, mean Emax scores were significantly greater for phentermine versus pitolisant (both doses) and similar for pitolisant (both doses) versus placebo. The incidence of adverse events was 82.1% after phentermine HCl 60 mg, 72.5% after pitolisant 213.6 mg, 47.5% after pitolisant 35.6 mg, and 48.8% after placebo administration.
In this study, pitolisant demonstrated significantly lower potential for abuse compared with phentermine and an overall profile similar to placebo; this suggests a low risk of abuse for pitolisant.
ClinicalTrials.gov NCT03152123. Determination of the abuse potential of pitolisant in healthy, nondependent recreational stimulant users. https://clinicaltrials.gov/ct2/show/NCT03152123.Adult Cataplexy* / chemically induced Cataplexy* / drug therapy Cross-Over Studies Double-Blind Method Female Histamine Agonists / adverse effects Humans Male Narcolepsy* / drug therapy Piperidines / adverse effects",2020 Apr 15
Narcolepsy,Agonist,The receptor(s) are: histamine-3. The subtype(s) are: N/A. The binding mode(s) are: inverse agonist. Therefore the mechanism of action is: histamine-3 receptor inverse agonist.,SUVN-G3031,"Safety, Tolerability, and Pharmacokinetics of SUVN-G3031, a Novel Histamine-3 Receptor Inverse Agonist for the Treatment of Narcolepsy, in Healthy Human Subjects Following Single and Multiple Oral Doses.",https://pubmed.ncbi.nlm.nih.gov/32399853/,"Nirogi R, Mudigonda K, Bhyrapuneni G, Muddana NR, Shinde A, Goyal VK, Pandey SK, Mohammed AR, Ravula J, Jetta S, Palacharla VRC.",32399853,"SUVN-G3031 is a novel, potent, and selective histamine-3 receptor (H
A single ascending dose (SAD) and a multiple ascending dose (MAD) study for 14 days was conducted in healthy young adults using a randomized, double-blind study design. The effect of food, gender, and age on SUVN-G3031 pharmacokinetics (6 mg as a single dose) was evaluated using an open-label, two-period, randomized, crossover design in fed and fasted states. Pharmacokinetics and safety assessments were conducted throughout the study.
Single doses of SUVN-G3031 up to 20 mg and multiple doses up to 6 mg once daily were found to be safe and well tolerated in healthy young adults. The most frequently reported adverse events were abnormal dreams, dyssomnia, and hot flushes. SUVN-G3031 exposure was dose proportional across the tested doses. Steady state was achieved on day 6 after once-daily dosing. Renal excretion (~ 60%) of unchanged SUVN-G3031 was the major route of elimination. Food, gender, and age did not have any clinically meaningful effect on SUVN-G3031 exposure.
SUVN-G3031 was found to be safe and well tolerated in healthy human subjects without any effect of age, gender, and food on the pharmacokinetics and safety profile. Clinical Trials Registration (https://clinicaltrials.gov): NCT04072380 and NCT02342041.Administration, Oral Adult Cross-Over Studies Double-Blind Method Drug Inverse Agonism Female Healthy Volunteers Histamine Humans Male Middle Aged Morpholines / adverse effects* Morpholines / pharmacokinetics Narcolepsy / drug therapy* Piperidines / adverse effects* Piperidines / pharmacokinetics",2020 Jul
Narcolepsy,Agonist,"The mechanism of action is: selective histamine 3 (H3) antagonist/inverse agonist.
 
 The receptor subtype(s) that the drug is being evaluated with is: histamine 3 (H3) receptor.",pitolisant,Pharmacokinetics of pitolisant in children and adolescents with narcolepsy.,https://pubmed.ncbi.nlm.nih.gov/31978866/,"Lecendreux M, Plazzi G, Franco P, Jacqz-Aigrain E, Robert P, Duvauchelle T, Schwartz JC.",31978866,"To evaluate the pharmacokinetic profile and tolerability of pitolisant, a selective histamine 3 (H
This multicenter, open-label, single-dose study of pitolisant 17.8 mg enrolled patients aged 6 through 17 years with a diagnosis of narcolepsy. Blood samples were collected at prespecified time points for analysis of pharmacokinetic parameters, including maximum serum concentration (C
Of the 25 enrolled patients, 24 were included in the pharmacokinetic analysis. Pitolisant C
After single-dose administration, the exposure parameters of pitolisant were significantly greater in the younger compared with older pediatric patients with narcolepsy. Pitolisant doses up to 17.8 mg/d (in children with body weight <40 kg) or 35.6 mg/d are appropriate for further evaluation in pediatric patients.
EudraCT Number: 2013-001505-93.Adolescent Adult Age Factors Child Female Humans Male Narcolepsy / drug therapy* Piperidines / adverse effects Piperidines / blood Piperidines / pharmacokinetics*",2020 Feb
Narcolepsy,Agonist,The receptor(s) are: histamine H(3). The subtype(s) are: N/A. The binding mode(s) are: inverse agonist. Therefore the mechanism of action is: histamine H(3) receptor inverse agonist.,tiprolisant,An inverse agonist of the histamine H(3) receptor improves wakefulness in narcolepsy: studies in orexin-/- mice and patients.,https://pubmed.ncbi.nlm.nih.gov/18295497/,"Lin JS, Dauvilliers Y, Arnulf I, Bastuji H, Anaclet C, Parmentier R, Kocher L, Yanagisawa M, Lehert P, Ligneau X, Perrin D, Robert P, Roux M, Lecomte JM, Schwartz JC.",18295497,"Narcolepsy is characterized by excessive daytime sleepiness (EDS), cataplexy, direct onsets of rapid eye movement (REM) sleep from wakefulness (DREMs) and deficiency of orexins, neuropeptides that promote wakefulness largely via activation of histamine (HA) pathways. The hypothesis that the orexin defect can be circumvented by enhancing HA release was explored in narcoleptic mice and patients using tiprolisant, an inverse H(3)-receptor agonist. In narcoleptic orexin(-/-) mice, tiprolisant enhanced HA and noradrenaline neuronal activity, promoted wakefulness and decreased abnormal DREMs, all effects being amplified by co-administration of modafinil, a currently-prescribed wake-promoting drug. In a pilot single-blind trial on 22 patients receiving a placebo followed by tiprolisant, both for 1 week, the Epworth Sleepiness Scale (ESS) score was reduced from a baseline value of 17.6 by 1.0 with the placebo (p>0.05) and 5.9 with tiprolisant (p<0.001). Excessive daytime sleep, unaffected under placebo, was nearly suppressed on the last days of tiprolisant dosing. H(3)-receptor inverse agonists could constitute a novel effective treatment of EDS, particularly when associated with modafinil.Animals Benzhydryl Compounds / therapeutic use Central Nervous System Stimulants / therapeutic use Disease Models, Animal Female Histamine Agonists / therapeutic use* Humans Intracellular Signaling Peptides and Proteins / deficiency* Male Mice Mice, Inbred C57BL Mice, Knockout Modafinil Narcolepsy / drug therapy* Narcolepsy / genetics Narcolepsy / physiopathology Neuropeptides / deficiency* Orexins Piperidines / therapeutic use* Polysomnography Prospective Studies Reaction Time / drug effects Severity of Illness Index Single-Blind Method Sleep Stages / drug effects Wakefulness / drug effects*",2008 Apr
Narcolepsy,Agonist,The receptor(s) are: histamine H3. The subtype(s) are: N/A. The binding mode(s) are: antagonist/inverse agonist. Therefore the mechanism of action is: H3 antagonist/inverse agonist.,enerisant,"Optimal dose determination of enerisant (TS-091) for patients with narcolepsy: two randomized, double-blind, placebo-controlled trials.",https://pubmed.ncbi.nlm.nih.gov/35193545/,"Inoue Y, Uchiyama M, Umeuchi H, Onishi K, Ogo H, Kitajima I, Matsushita I, Nishino I, Uchimura N.",35193545,"The histamine H3 receptor has emerged as one of the most promising targets of novel pharmacotherapy for narcolepsy. Studies now aim to investigate the optimal dose of enerisant, a novel H3 antagonist/inverse agonist, for the treatment of excessive daytime sleepiness in patients with narcolepsy.
We conducted two phase 2, fixed-dose, double-blind, randomized, placebo-controlled trials in patients with narcolepsy. The first phase 2 study (Study 1) was conducted to investigate the efficacy and safety of enerisant at dosages of 25, 50, and 100 mg/day administered for 3 weeks based on the results of a phase 1 study conducted on healthy volunteers. The primary endpoint was mean sleep latency in maintenance of wakefulness test (MWT), and the secondary endpoint was the total score on the Epworth Sleepiness Scale (ESS). The dosages of enerisant in the second phase 2 study (Study 2) were set at 5 and 10 mg/day based on the simulation of receptor occupancy results from positron emission tomography study.
Forty-six and fifty-three patients were randomized in Study 1 and Study 2, respectively. The efficacy of enerisant was partially confirmed in Study 1 with ESS; however, the doses were not tolerated, and there were many withdrawals due to adverse events (mainly insomnia, headache, and nausea). The doses in Study 2 were well tolerated, with a lower incidence of adverse events in Study 2 than in Study 1, although the efficacy could not be confirmed with MWT and ESS in Study 2.
The optimal dose of enerisant could not be determined in these two studies. Although enerisant has a favorable pharmacokinetic profile, it is thought to have large interindividual variabilities in terms of efficacy and safety, suggesting the necessity of tailored dosage adjustments.
ClinicalTrials.gov identifier: NCT03267303 ; Registered 30 August 2017 (Study 2). Japic identifier: JapicCTI-142529 ; Registered 7 May 2014 (Study 1) and JapicCTI-173689 ; Registered 30 August 2017, https://www.clinicaltrials.jp/cti-user/trial/ShowDirect.jsp?clinicalTrialId=29277 (Study 2).Disorders of Excessive Somnolence* / complications Disorders of Excessive Somnolence* / drug therapy Double-Blind Method Humans Narcolepsy* / drug therapy Treatment Outcome Wakefulness",2022 Feb 22
Narcolepsy,Agonist,The receptor(s) are: GABA(B). The subtype(s) are: N/A. The binding mode(s) are: agonist. Therefore the mechanism of action is: GABA(B) agonist.,baclofen and sodium oxybate,"Narcolepsy: action of two gamma-aminobutyric acid type B agonists, baclofen and sodium oxybate.",https://pubmed.ncbi.nlm.nih.gov/19520267/,"Huang YS, Guilleminault C.",19520267,"This study was performed to evaluate the actions of baclofen and sodium oxybate, two medications with gamma-aminobutyric acid type B (GABA(B)) receptor agonist properties, on symptoms of narcolepsy in drug-naïve teenagers. Twenty-six narcoleptic teenagers with recent onset of narcolepsy-cataplexy syndrome who were human leukocyte antigen DQB1 0602 positive were matched for age and sex and received either baclofen or sodium oxybate. If deemed necessary to combat excessive daytime sleepiness, the alerting agent modafinil was also prescribed. Clinical evaluation was performed weekly, and visual analog sleepiness score and cataplexy logs were collected weekly. The Epworth Sleepiness Scale or the Pediatric Daytime Sleepiness Scale, polysomnography, and the Multiple Sleep Latency Test were recorded at baseline and after 3 months of drug intake. The dose of baclofen demonstrating an effect on nocturnal sleep without negative side effects was determined and maintained. Both drugs increased total sleep time and delta waves during sleep, but only sodium oxybate had an effect on daytime sleepiness and cataplexy at 3 months. Improvement of total nocturnal sleep time had no beneficial effect on daytime sleepiness. The mechanism by which sodium oxybate improves cataplexy and sleepiness is inferred to be due to properties beyond direct GABA(B) agonist action.Adolescent Baclofen / administration & dosage Baclofen / therapeutic use* Benzhydryl Compounds / administration & dosage Benzhydryl Compounds / therapeutic use Cataplexy / drug therapy Central Nervous System Stimulants / administration & dosage Central Nervous System Stimulants / therapeutic use Female Follow-Up Studies GABA Agonists / administration & dosage GABA Agonists / therapeutic use* GABA-B Receptor Agonists* Humans Male Modafinil Narcolepsy / drug therapy* Photoperiod Polysomnography Severity of Illness Index Sleep / drug effects Sodium Oxybate / administration & dosage Sodium Oxybate / therapeutic use* Time Factors",2009 Jul
Narcolepsy,Agonist,The mechanism of action is: sodium oxybate. The target of the chemical reaction is: N/A (not specified in the article). The binding mode(s) and receptor subtype(s) are also not specified in the article.,sodium oxybate,Long-term safety and maintenance of efficacy of sodium oxybate in the treatment of narcolepsy with cataplexy in pediatric patients.,https://pubmed.ncbi.nlm.nih.gov/35689598/,"Lecendreux M, Plazzi G, Dauvilliers Y, Rosen CL, Ruoff C, Black J, Parvataneni R, Guinta D, Wang YG, Mignot E.",35689598,"Evaluate long-term efficacy and safety of sodium oxybate (SXB) in children and adolescents (aged 7-16 years) with narcolepsy with cataplexy.
A double-blind randomized withdrawal study was conducted. Prior to randomization, SXB-naive participants were titrated to an efficacious and tolerable dose of SXB; participants taking SXB entered on their established dose. Following a 2-week stable-dose period and 2-week, double-blind, randomized withdrawal period, participants entered an open-label period (OLP; ≤ 47 weeks). Efficacy measures during the OLP included number of weekly cataplexy attacks, cataplexy-free days, and Epworth Sleepiness Scale for Children and Adolescents (ESS-CHAD). Safety outcomes included treatment-emergent adverse events; assessments of depression, anxiety, and suicidality; and polysomnography.
Of 106 enrolled participants, 95 entered and 85 completed the OLP. In SXB-naive participants and participants previously taking SXB, efficacy of SXB established prior to the double-blind, randomized withdrawal period was maintained throughout the OLP for number of weekly cataplexy attacks (median [quartile 1, quartile 3] change from the stable-dose period to end of the OLP: 0.0 [-2.5, 4.9] and 0.0 [-3.4, 2.6], respectively) and ESS-CHAD scores (0.0 [-3.0, 2.5] and 1.0 [-3.0, 3.0], respectively). The median (quartile 1, quartile 3) number of cataplexy-free days per week was 2.3 (0.0, 6.0) in OLP week 1 and 3.8 (0.5, 5.5) in week 48. Treatment-emergent adverse events (≥ 5%) were enuresis, nausea, vomiting, headache, decreased weight, decreased appetite, nasopharyngitis, upper respiratory tract infection, and dizziness.
SXB demonstrated long-term maintenance of efficacy in pediatric narcolepsy with cataplexy, with a safety profile consistent with that observed in adults.
Registry: ClinicalTrials.gov; Name: A Multicenter Study of the Efficacy and Safety of Xyrem with an Open-Label Pharmacokinetic Evaluation and Safety Extension in Pediatric Subjects with Narcolepsy with Cataplexy; URL: https://clinicaltrials.gov/ct2/show/NCT02221869; Identifier: NCT02221869.
Lecendreux M, Plazzi G, Dauvilliers Y, et al. Long-term safety and maintenance of efficacy of sodium oxybate in the treatment of narcolepsy with cataplexy in pediatric patients. Adolescent Adult Cataplexy* / drug therapy Child Double-Blind Method Humans Narcolepsy* / drug therapy Polysomnography Sodium Oxybate* / adverse effects Treatment Outcome",2022 Sep 1
Narcolepsy,Agonist,The receptor(s) are: histamine 3. The subtype(s) are: N/A. The binding mode(s) are: antagonist/inverse agonist. Therefore the mechanism of action is: selective histamine 3 receptor antagonist/inverse agonist.,pitolisant,Clinical Impact of Pitolisant on Excessive Daytime Sleepiness and Cataplexy in Adults With Narcolepsy: An Analysis of Randomized Placebo-Controlled Trials.,https://pubmed.ncbi.nlm.nih.gov/34935103/,"Meskill GJ, Davis CW, Zarycranski D, Doliba M, Schwartz JC, Dayno JM.",34935103,"Pitolisant, a selective histamine 3 receptor antagonist/inverse agonist, is indicated for the treatment of excessive daytime sleepiness or cataplexy in adults with narcolepsy. The efficacy and safety of pitolisant have been demonstrated in randomized placebo-controlled trials. When evaluating the results of randomized placebo-controlled trials, the clinical impact of a treatment can be assessed using effect size metrics that include Cohen's d (the standardized mean difference of an effect) and number needed to treat (NNT; number of patients that need to be treated to achieve a specific outcome for one person).
The objective of this study was to evaluate the clinical impact of pitolisant for the reduction in excessive daytime sleepiness or cataplexy in adults with narcolepsy.
This post hoc analysis incorporated data from two 7-week or 8-week randomized placebo-controlled trials (HARMONY 1, HARMONY CTP). Study medication was individually titrated, with a maximum possible pitolisant dose of 35.6 mg/day. Efficacy was assessed using the Epworth Sleepiness Scale (ESS) and weekly rate of cataplexy (HARMONY CTP only). Cohen's d was derived from the least-squares mean difference between treatment groups (pitolisant vs placebo), and NNTs were calculated from response rates. Treatment response was defined for excessive daytime sleepiness in two ways: (a) reduction in ESS score ≥ 3 or final ESS score ≤ 10 and (b) final ESS score ≤ 10. Treatment response was defined for cataplexy as a ≥ 25%, ≥ 50%, or ≥ 75% reduction in weekly rate of cataplexy.
The analysis population included 61 patients in HARMONY 1 (pitolisant, n = 31; placebo, n = 30) and 105 patients in HARMONY CTP (pitolisant, n = 54; placebo, n = 51). For pitolisant vs placebo, Cohen's d effect size values were 0.61 (HARMONY 1) and 0.86 (HARMONY CTP) based on changes in ESS scores, and 0.86 (HARMONY CTP) based on changes in weekly rate of cataplexy. NNTs for pitolisant were 3-5 for the treatment of excessive daytime sleepiness and 3-4 for the treatment of cataplexy.
The results of this analysis demonstrate the robust efficacy of pitolisant for the reduction in both excessive daytime sleepiness and cataplexy. These large effect sizes and low NNTs provide further evidence supporting the strength of the clinical response to pitolisant in the treatment of adults with narcolepsy.
ClinicalTrials.gov identifiers: NCT01067222 (February 2010), NCT01800045 (February 2013).Adolescent Adult Aged Cataplexy / drug therapy Disorders of Excessive Somnolence / drug therapy Double-Blind Method Female Humans Male Middle Aged Narcolepsy / drug therapy* Piperidines / administration & dosage Piperidines / therapeutic use* Treatment Outcome Young Adult",2022 Jan
Narcolepsy,Agonist,"The mechanism of action is: histamine H3 receptor inverse agonist. The receptor subtype(s) are: histamine H3. The binding mode(s) are: inverse agonist. Therefore, the drug being evaluated is pitolisant, which is a histamine H3 receptor inverse agonist.",pitolisant,"Safety and efficacy of pitolisant on cataplexy in patients with narcolepsy: a randomised, double-blind, placebo-controlled trial.",https://pubmed.ncbi.nlm.nih.gov/28129985/,"Szakacs Z, Dauvilliers Y, Mikhaylov V, Poverennova I, Krylov S, Jankovic S, Sonka K, Lehert P, Lecomte I, Lecomte JM, Schwartz JC; HARMONY-CTP study group.",28129985,"Histaminergic neurons are crucial to maintain wakefulness, but their role in cataplexy is unknown. We assessed the safety and efficacy of pitolisant, a histamine H3 receptor inverse agonist, for treatment of cataplexy in patients with narcolepsy.
For this randomised, double-blind, placebo-controlled trial we recruited patients with narcolepsy from 16 sleep centres in nine countries (Bulgaria, Czech Republic, Hungary, Macedonia, Poland, Russia, Serbia, Turkey, and Ukraine). Patients were eligible if they were aged 18 years or older, diagnosed with narcolepsy with cataplexy according to version two of the International Classification of Sleep Disorders criteria, experienced at least three cataplexies per week, and had excessive daytime sleepiness (defined as an Epworth Sleepiness Scale score ≥12). We used a computer-generated sequence via an interactive web response system to randomly assign patients to receive either pitolisant or placebo once per day (1:1 ratio). Randomisation was done in blocks of four. Participants and investigators were masked to treatment allocation. Treatment lasted for 7 weeks: 3 weeks of flexible dosing decided by investigators according to efficacy and tolerance (5 mg, 10 mg, or 20 mg oral pitolisant), followed by 4 weeks of stable dosing (5 mg, 10 mg, 20 mg, or 40 mg). The primary endpoint was the change in the average number of cataplexy attacks per week as recorded in patient diaries (weekly cataplexy rate [WCR]) between the 2 weeks of baseline and the 4 weeks of stable dosing period. Analysis was by intention to treat. This trial is registered with ClinicalTrials.gov, number NCT01800045.
The trial was done between April 19, 2013, and Jan 28, 2015. We screened 117 patients, 106 of whom were randomly assigned to treatment (54 to pitolisant and 52 to placebo) and, after dropout, 54 patients from the pitolisant group and 51 from the placebo group were included in the intention-to-treat analysis. The WCR during the stable dosing period compared with baseline was decreased by 75% (WCR
Pitolisant was well tolerated and efficacious in reducing cataplexy. If confirmed in long-term studies, pitolisant might constitute a useful first-line therapy for cataplexy in patients with narcolepsy, for whom there are currently few therapeutic options.
Bioprojet, France.Adolescent Adult Aged Cataplexy / drug therapy* Cataplexy / etiology* Databases, Bibliographic / statistics & numerical data Double-Blind Method Female Follow-Up Studies Histamine H3 Antagonists / therapeutic use* Humans Male Middle Aged Narcolepsy / complications* Piperidines / therapeutic use* Retrospective Studies Severity of Illness Index Treatment Outcome* Young Adult",2017 Mar
