PMID,Answers
PMID: 36414626,"Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Phase 2. 

Q: Are humans mentioned in this study? Please answer with YES or NO.
A: YES.

Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: 125 patients were involved in the study. 

Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO. 
A: NO.

Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO
A: NO."
PMID: 28922590,"Q: Does the article explicitly mention the clinical trial phase of the study, like Phase 1, Phase 2 or Phase 3?
A: No.

Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Unknown.

Q: Are humans mentioned in this study? Please answer with YES or NO.
A: Yes.

Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: 157.

Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO. 
A: No.

Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO
A: No."
PMID: 23523692,"Q: Does the article explicitly mention the clinical trial phase of the study, like Phase 1, Phase 2 or Phase 3?
A: No.

Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Unknown.

Q: Are humans mentioned in this study? Please answer with YES or NO.
A: Yes.

Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: 55 patients were initially enrolled, but only 46 completed the study.

Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO.
A: No.

Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO
A: No."
PMID: 26089183,"Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Phase 2. 

Q: Are humans mentioned in this study? Please answer with YES or NO.
A: Yes. 

Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: 319 patients were randomized, of which 317 were included in the safety population, and 307 were included in the intent-to-treat population. 

Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO. 
A: No. 

Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO
A: No."
PMID: 26940805,"Q: Does the article explicitly mention the clinical trial phase of the study, like Phase 1, Phase 2, or Phase 3?
A: Yes"
PMID: 27319970,"Unknown (the article does not mention the clinical trial phase) 

A: Yes, humans are mentioned in the study. 

A: 432 subjects were involved in the study. 

A: No, the article does not mention healthy subjects, healthy patients or healthy volunteers being involved in the trial. 

A: No, the article does not use the words pivotal, registrational or something similar."
PMID: 11522468,"Q: Does the article explicitly mention the clinical trial phase of the study, like Phase 1, Phase 2 or Phase 3?
A: No.

Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Unknown.

Q: Are humans mentioned in this study? Please answer with YES or NO.
A: Yes.

Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: The number of people involved in the study is not mentioned.

Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO. 
A: No.

Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO
A: No."
PMID: 24549101,Unknown.
PMID: 29699895,"Unknown, the article does not mention the clinical trial phase. 
Q: Yes, humans are mentioned in this study. 
Q: 90 patients with schizophrenia and 53 healthy controls were involved in the study. 
Q: Yes, healthy controls were mentioned in the study. 
Q: No, the trial does not use the words pivotal or registrational or anything similar."
PMID: 22727707,"Q: What is the clinical trial phase mentioned in the study? If no phase is stated please say Unknown.
A: Unknown.
Q: Are humans mentioned in this study? Please answer with YES or NO.
A: Yes.
Q: How many people were involved in the study? Please give only the number if present, otherwise answer with N/A
A: 19.
Q: Does the article mention something like healthy subjects, healthy patients, or healthy volunteers being involved in the trial? Please answer with YES or NO.
A: No.
Q: Does the trial/study use the words pivotal or registrational or something similar? Please answer with YES or NO.
A: No."
