Pub Med ID,Answers
PMID,"The drug being evaluated is famotidine and the mechanism of action is an antagonist, so the answer is H-2 antagonist."
30738380,"The drug being evaluated is Cariprazine and the mechanism of action is by blocking dopamine receptors, so the answer is dopamine receptor blocker."
31264510,"The drug is being evaluated with a dopamine D1/D5 receptor partial agonist, so the answer is dopamine D1/D5 receptor partial agonist."
25822479,"The drug being evaluated is an antipsychotic and the mechanism of action is a partial agonist, so the answer is 5-HT1A receptor partial agonist."
26016467,"The drug being evaluated is an antipsychotic and the mechanism of action is either full antagonism or partial agonism of D2-R, so the answer is antipsychotic medication history."
17628435,"The drug being evaluated is buspirone and the mechanism of action is 5-HT1A partial agonist, so the answer is 5-HT1A partial agonist."
27371157,"The drug being evaluated is AQW051 and the mechanism of action is an α7-nicotinic acetylcholine receptor partial agonist, so the answer is α7-nicotinic acetylcholine receptor partial agonist."
9442338,"The drug being evaluated is (-)-3PPP and the mechanism of action is a partial dopamine agonist, so the answer is dopamine agonist."
33691517,"The drug being evaluated is brexpiprazole and the mechanism of action is a dopamine/serotonin receptor partial agonist, so the answer is dopamine/serotonin receptor partial agonist."
8905533,"The drug being evaluated is bretazenil and the mechanism of action is partial benzodiazepine-receptor agonist, so the answer is partial benzodiazepine-receptor agonist."
23968123,"The disease being treated is Schizophrenia and we know that the mechanism of action is an agonist/antagonist, so the answer is selective estrogen receptor modulator agonist/antagonist."
24419307,"The drug being evaluated is EVP-6124 and the mechanism of action is an α7 nicotinic acetylcholine receptor partial agonist, so the answer is α7 nicotinic acetylcholine receptor partial agonist."
16754836,"The drug being evaluated is DMXB-A and the mechanism of action is alpha7 nicotinic cholinergic agonist, so the answer is alpha7 nicotinic cholinergic agonist."
20728875,"The drug being evaluated is DMXB-A and the mechanism of action is a partial agonist at α7 nicotinic acetylcholine receptors, so the answer is α7 nicotinic acetylcholine receptor partial agonist."
19637398,"The drug being evaluated is buspirone and the mechanism of action is anxiolytic, so the answer is anxiolytic."
20033907,"The drug being evaluated is haloperidol and we know that the mechanism of action is a dopamine receptor antagonist, so the answer is dopamine receptor antagonist."
19956085,"The drug being evaluated is DMXB-A and the mechanism of action is a partial agonist at alpha7-nicotinic acetylcholine receptors, so the answer is alpha7-nicotinic acetylcholine receptor partial agonist."
18381905,"The drug being evaluated is DMXB-A and the mechanism of action is alpha(7)-nicotinic agonist, so the answer is alpha(7)-nicotinic agonist."
26900078,"The drug being evaluated is Aripiprazole and the mechanism of action is a D2 receptor partial agonist, so the answer is D2 receptor partial agonist."
23303043,"The drug being evaluated is TC-5619 and the mechanism of action is an alpha7 nicotinic receptor partial agonist, so the answer is alpha7 nicotinic receptor partial agonist."
11343682,"The drug being evaluated is tandospirone and the mechanism of action is 5-HT(1A) partial agonist, so the answer is 5-HT(1A) partial agonist."
24549101,"The drug being evaluated is RG3487 and it is a nicotinic α7 receptor agonist, so the answer is nicotinic α7 receptor agonist."
26940805,"The drug being evaluated is ABT-126 and the mechanism of action is an α7 nicotinic receptor partial agonist, so the answer is α7 nicotinic receptor partial agonist."
9718289,"The drug being evaluated is D-cycloserine and the mechanism of action is an agonist/antagonist, so the answer is agonist/antagonist."
15474895,"The disease being treated is Schizophrenia and we know that the mechanism of action is an agonist/antagonist, so the answer is selective estrogen receptor modulator agonist/antagonist."
1715608,"The drug being evaluated is sulpiride and remoxipride and they are D2/D3 receptor blockers, so the answer is D2/D3 receptor blocker."
17728426,"The disease being treated is Schizophrenia and we know that the mechanism of action is an antagonist, so the answer is D1 receptor antagonist."
19366489,"The drug being evaluated is Aripiprazole and the mechanism of action is a partial agonist, so the answer is partial agonist."
21068719,"The disease being treated is Schizophrenia and we know that the mechanism of action is a deficit, so the answer is GABA deficit."
25438724,"The drug being evaluated is encenicline and the mechanism of action is a selective α7 nicotinic acetylcholine receptor partial agonist, so the answer is α7 nicotinic acetylcholine receptor partial agonist."
16154544,"The drug being evaluated is D-alanine and the mechanism of action is an agonist of the NMDA-glycine site, so the answer is NMDA-glycine site agonist."
