Pub Med ID,Answers
PMID,There is no information provided in the article to answer this question.
30738380,The drug being evaluated is Cariprazine and the mechanism of action is a dopamine D3-preferring D3/D2 receptor partial agonist and serotonin 5-HT1A receptor partial agonist.
31264510,The drug being evaluated is PF-06412562 and the mechanism of action is a selective dopamine D1/D5 receptor partial agonist.
25822479,"The article is not discussing the mechanism of action for a specific drug, but rather investigating the relationship between single nucleotide polymorphisms (SNPs) in the serotonin 1A receptor gene and the efficacy of antipsychotics with 5-HT1A receptor partial agonism in patients with schizophrenia."
26016467,"The drugs being evaluated are antipsychotics, and we know that their mechanism of action involves either full antagonism or partial agonism of dopamine D2 receptors."
17628435,"The drug being evaluated is buspirone, and we know that the mechanism of action is a partial agonist, specifically a 5-HT1A partial agonist. The disease being treated is schizophrenia."
27371157,"The drug being evaluated is AQW051 and we know that the mechanism of action is a partial agonist, specifically an alpha7-nicotinic acetylcholine receptor partial agonist."
9442338,"The drug being evaluated is (-)-3-(3-hydroxyphenyl)-N-n-propylpiperidine [(-)-3PPP], which is a partial dopamine agonist."
33691517,"The drug being evaluated is brexpiprazole and we know that it is a dopamine/serotonin receptor partial agonist, so the mechanism of action is a partial agonist for dopamine and serotonin receptors."
8905533,"The drug being evaluated is bretazenil, which is a partial benzodiazepine-receptor agonist. The mechanism of action is agonist."
23968123,There is no drug being evaluated in this article. The article is a review of the literature on prolactin and strategies for treating hyperprolactinemia in premenopausal women with schizophrenia.
24419307,"The drug being evaluated is EVP-6124, which is an alpha-7 nicotinic acetylcholine receptor partial agonist. The mechanism of action is to target the alpha-7 nicotinic acetylcholine receptor."
16754836,"The drug being evaluated is 3-[(2,4-dimethoxy)benzylidene]anabaseine (DMXB-A), which is a partial alpha7 nicotinic cholinergic agonist. Therefore, the mechanism of action is an agonist targeting alpha7 nicotinic receptors."
20728875,"The drug being evaluated is 3-(2,4-dimethoxybenzylidene)-anabaseine (DMXB-A) and the mechanism of action is a partial agonist at α7 nicotinic acetylcholine receptors."
19637398,"The drug being evaluated is buspirone, and there is no clear answer to the mechanism of action discussed in the article. However, it is mentioned that buspirone is a 5-HT1A receptor agonist, which suggests that it is thought to have an effect on the serotonin system."
20033907,"The disease being evaluated is nicotine dependence in schizophrenic patients, and we know that the mechanism of action is a dopamine D2 receptor partial agonist, so the answer is aripiprazole as a partial agonist of the dopamine D2 receptor."
19956085,"The drug being evaluated is 3-(2,4-Dimethoxybenzylidene)-anabaseine (DMXB-A) and its mechanism of action is as a partial agonist at alpha7-nicotinic acetylcholine receptors."
18381905,"The disease being treated is schizophrenia and we know that the mechanism of action is an agonist, so the answer is partial alpha(7)-nicotinic agonist."
26900078,"The disease being treated is schizophrenia and we know that the mechanism of action is a partial D2 receptor agonist, so the answer is D2 receptor partial agonist."
23303043,"The drug being evaluated is an alpha7 nicotinic receptor partial agonist, so the mechanism of action is an agonist."
11343682,"The drug being evaluated is tandospirone, which is a 5-HT(1A) partial agonist."
24549101,The drug being evaluated is a nicotinic α7 partial agonist and the article does not specify a specific chemical target of the reaction.
26940805,"The drug being evaluated is ABT-126, which is a selective α7 nicotinic receptor partial agonist. So, the mechanism of action (target of the chemical reaction) of the drug is the α7 nicotinic receptor."
9718289,The drug being evaluated is D-cycloserine and its mechanism of action is as a partial agonist of the glycine recognition site of the N-methyl-D-aspartate (NMDA) receptor.
15474895,"The drug being evaluated is D-cycloserine (DCS) and the mechanism of action is a partial agonist at the glycine site of the NMDA-associated receptor complex, noncompetitively enhancing NMDA neurotransmission."
1715608,"There are multiple drugs being discussed in this article, each with their own specific mechanism of action. Some target dopamine (DA) receptors (D2/D3, D1), while others target serotonin (5HT) receptors (5HT1, 5HT2, 5HT3), alpha 1 receptors, and/or gamma-amino-butyric-acid-A (GABA-A) benzodiazepine receptors. Additionally, some act as agonists while others act as antagonists, and some are partial agonists. So there is not one clear answer to this question."
17728426,"The drug being evaluated is aripiprazole, and while the article does not explicitly state its mechanism of action, it does mention that aripiprazole has a higher affinity for dopamine D2 receptors than haloperidol, suggesting it is a dopamine receptor antagonist/agonist."
19366489,"The drug being evaluated is aripiprazole, and we know that the mechanism of action is a partial agonist, so the answer is dopamine D2 receptor partial agonist."
21068719,"The drug being evaluated is iomazenil, which is an antagonist and partial inverse agonist of the benzodiazepine receptor. The article is focused on the hypothesis that inducing a transient GABA-deficit state in schizophrenia patients through the use of iomazenil can unmask or induce psychosis. So, the mechanism of action being studied is the effect of iomazenil on GABA receptors in inducing psychosis in schizophrenia patients."
25438724,"The drug being evaluated is encenicline, which is a selective α7 nicotinic acetylcholine receptor partial agonist. The mechanism of action is agonist."
16154544,The drug being evaluated is D-alanine and its mechanism of action is as an endogenous agonist of the glycine site of the NMDA receptor.
25363835,"The drug being evaluated is AQW051 and its mechanism of action is an agonist, specifically of the α7 nicotinic ACh receptor."
27613505,"The drug being evaluated is Varenicline and the mechanism of action is a partial agonist of the nicotinic acetylcholine receptors (nAChR), which may improve cognitive deficits in both smokers and non-smokers with schizophrenia."
