Pub Med ID,Answers,MoA
30738380,"The drug(s) mentioned in the article are cariprazine and risperidone, but the article does not provide information about the mechanism of action, target of the chemical reaction, or receptor subtype(s) being evaluated with. The article focuses on the evaluation of the efficacy of cariprazine in treating negative symptoms of schizophrenia through post hoc analyses of PANSS individual items and PANSS-derived factors.",Partial Agonist
31264510,The receptor(s) are: dopamine. The subtype(s) are: D1 and D5. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D1 and D5 receptor partial agonist.,Partial Agonist
25822479,"The drugs being evaluated in this study are antipsychotics with 5-HT1A receptor partial agonism, specifically perospirone and aripiprazole. The receptor being targeted is the 5-HT1A receptor.",Partial Agonist
26016467,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode(s) for the antipsychotics are: perospirone (full antagonist) and aripiprazole (partial agonist) of D2-R.,Partial Agonist
17628435,The target receptor is: serotonin 5-HT1A. The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin 5-HT1A partial agonist.,Partial Agonist
27371157,The receptor(s) are: nicotinic acetylcholine. The subtype(s) are: α7. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: α7 nicotinic acetylcholine receptor partial agonist.,Partial Agonist
9442338,The receptor(s) are: dopamine. The subtype(s) are: N/A (not specified in the article). The binding mode is: partial agonist. Therefore the mechanism of action is: partial dopamine agonist.,Partial Agonist
33691517,"The drug is: brexpiprazole. The receptor(s) are: dopamine and serotonin. The subtype(s) are: N/A, but the drug is a partial agonist for both receptors. Therefore the mechanism of action is: dopamine/serotonin receptor partial agonist.",Partial Agonist
8905533,The receptor(s) are: GABA-A. The subtype(s) are: partial benzodiazepine receptor agonist. Therefore the mechanism of action is: GABA-A receptor partial agonist.,Partial Agonist
23968123,None,Partial Agonist
24419307,The receptor(s) are: alpha-7 nicotinic acetylcholine. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha-7 nicotinic acetylcholine partial agonist.,Partial Agonist
16754836,The receptor(s) are: alpha7 nicotinic acetylcholine receptors. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7 nicotinic cholinergic partial agonist.,Partial Agonist
20728875,The mechanism of action is: partial agonist at α7 nicotinic acetylcholine receptors. The receptor(s) are: α7 nicotinic acetylcholine receptors.,Partial Agonist
19637398,"The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin 5-HT1A receptor partial agonist. Additionally, the atypical antipsychotics being used have intrinsic activation of 5-HT1A receptors that may hinder the ability of buspirone to improve cognitive function.",Partial Agonist
20033907,"The drug(s) being evaluated are: haloperidol, risperidone, olanzapine, and aripiprazole. The receptor(s) targeted is/are: dopamine D2 receptor. The binding mode(s) can vary as haloperidol is a dopamine antagonist, while risperidone, olanzapine, and aripiprazole are atypical antipsychotics with varying levels of dopamine D2 receptor partial agonist activity. Therefore, the mechanism of action for aripiprazole is: dopamine D2 receptor partial agonist. The article suggests that the partial agonist activity of aripiprazole may reduce the severity of nicotine dependence in schizophrenic patients.",Partial Agonist
19956085,The receptor(s) are: alpha7-nicotinic acetylcholine receptor. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7-nicotinic receptor partial agonist.,Partial Agonist
18381905,The mechanism of action is: nicotinic agonist activating alpha(7)-nicotinic receptors. The receptor(s) are: nicotinic cholinergic. The subtype(s) are: alpha(7)-nicotinic receptors. The binding mode is: partial agonist.,Partial Agonist
26900078,"The receptor(s) are: dopamine and serotonin. The subtype(s) for dopamine are: D2 and D5. The binding mode for aripiprazole is: partial agonist. Therefore, the mechanism of action is: dopamine D2 and D5 receptor partial agonist, and serotonergic action that results in prefrontal dopamine release. Risperidone is a D2/5-HT2A blocker.",Partial Agonist
23303043,The receptor(s) are: alpha7 nicotinic acetylcholine. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7 nicotinic receptor partial agonist.,Partial Agonist
11343682,The receptor(s) are: serotonin. The subtype(s) are: 5-HT(1A). The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin 5-HT(1A) receptor partial agonist.,Partial Agonist
24549101,The receptor(s) are: nicotinic alpha-7. The subtype(s) are: not specified in the article. The binding mode is: partial agonist. Therefore the mechanism of action is: nicotinic alpha-7 receptor partial agonist.,Partial Agonist
26940805,The receptor(s) are: α7 nicotinic acetylcholine receptor. The subtype(s) are: selective agonist. Therefore the mechanism of action is: α7 nicotinic acetylcholine receptor selective agonist.,Partial Agonist
9718289,The receptor(s) are: N-methyl-D-aspartate (NMDA). The subtype(s) are: glycine recognition site. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: NMDA receptor glycine recognition site partial agonist.,Partial Agonist
15474895,"The mechanism of action is: partial agonist at the glycine site of the NMDA-associated receptor complex, noncompetitively enhancing NMDA neurotransmission. The receptor(s) are: NMDA. The subtype(s) are: N/A.",Partial Agonist
1715608,"There are multiple drugs mentioned in this article with different mechanisms of action and receptor subtypes. Some target dopamine D2/D3 receptors, others target serotonin (5HT) receptors or gamma-amino-butyric-acid-A (GABA-A) receptors. The article also mentions drugs that affect multiple receptor subtypes, including D2/D3, 5HT, alpha 1, and/or D1 receptors. Therefore, the mechanisms of action and receptor subtypes vary depending on the specific drug being evaluated.",Partial Agonist
17728426,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
19366489,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode(s) are: partial agonist (for aripiprazole) and full antagonist (for risperidone or olanzapine). Therefore the mechanism of action is: dopamine D2 receptor partial agonist (for aripiprazole) and dopamine D2 receptor antagonist (for risperidone or olanzapine).,Partial Agonist
21068719,The receptor(s) are: GABA. The subtype(s) are: benzodiazepine receptors. The binding mode(s) are: antagonist and partial inverse agonist. Therefore the mechanism of action is: GABA receptor function modulation through benzodiazepine receptor.,Partial Agonist
25438724,The receptor(s) are: α7 nicotinic acetylcholine receptor. The subtype(s) are: α7 subtype. The binding mode is: partial agonist. Therefore the mechanism of action is: selective α7 nicotinic receptor partial agonist.,Partial Agonist
16154544,The receptor(s) are: NMDA-Glycine site. The subtype(s) are: N/A. The binding mode is: endogenous agonist. Therefore the mechanism of action is: NMDA-Glycine site agonist. The drug being evaluated is D-alanine.,Partial Agonist
25363835,The receptor(s) are: nicotinic acetylcholine. The subtype(s) are: alpha7. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7 nicotinic ACh receptor partial agonist.,Partial Agonist
27613505,The receptor(s) are: nicotinic acetylcholine receptors (nAChR). The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: nicotinic acetylcholine receptor partial agonist.,Partial Agonist
3310672,The mechanism of action and receptor subtype(s) are not specified in the article.,Partial Agonist
25953357,"The receptor(s) are: GABA (gamma-aminobutyric acid) and benzodiazepine. The subtype(s) are: N/A. The binding mode(s) are: antagonist and partial inverse agonist (for benzodiazepine receptor). Therefore, the mechanism of action is: pharmacologically induced GABA deficit and benzodiazepine receptor antagonist/partial inverse agonist, leading to increased vulnerability to the psychotomimetic effects of amphetamine.",Partial Agonist
21145041,The mechanism of action is: γ-aminobutyric acid (GABA)(A) α2/α3 partial agonist. The receptor subtype(s) are: GABA(A) α2/α3 receptors.,Partial Agonist
24114425,The mechanism of action is: nicotinic acetylcholine receptors (nAChRs). The subtype(s) are: N/A for mecamylamine (an nAChR antagonist) and partial agonist for varenicline.,Partial Agonist
23342824,The receptor(s) are: dopamine. The subtype(s) are: D2 and D3. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 and D3 receptor partial agonist.,Partial Agonist
28252452,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
32349117,The receptor(s) are: alpha-7 nicotinic acetylcholine receptors (nAChR). The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha-7 nAChR partial agonist.,Partial Agonist
