Pub Med ID,Answers,MoA
36528376,The receptor(s) are: cholinergic M4. The subtype(s) are: M4. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: cholinergic M4 receptor positive allosteric modulator.,Positive Modulator
31913424,"The mechanism of action of lumateperone is as a serotonin, dopamine, and glutamate modulator. The article does not specify any specific receptor subtypes being targeted.",Positive Modulator
30177236,The mechanism of action is positive allosteric modulation of γ-aminobutyric-acid type A (GABA) receptors. The receptor subtype is GABA-A. The drug being evaluated is brexanolone injection.,Positive Modulator
29853841,There are no drugs being evaluated in this article. The study is investigating the effects of music intervention on functional connectivity of the brain in schizophrenia patients using functional magnetic resonance imaging.,Positive Modulator
33203954,The receptor(s) are: dopamine. The subtype(s) are: D1. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: dopamine D1 receptor positive allosteric modulator.,Positive Modulator
26922656,The receptor(s) are: metabotropic glutamate receptor 2 (mGluR2). The subtype(s) are: N/A. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: mGluR2 receptor positive allosteric modulator.,Positive Modulator
32015461,The receptor(s) are: nicotinic alpha-7 acetylcholine. The subtype(s) are: alpha7 nicotinic acetylcholine receptor. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: alpha7 nicotinic cholinergic receptor positive allosteric modulator.,Positive Modulator
34667261,The receptor(s) are: metabotropic glutamate receptor 2 (mGluR2). The subtype(s) are: N/A. The binding mode is: positive allosteric modulation. Therefore the mechanism of action is: mGluR2 positive allosteric modulation.,Positive Modulator
24434091,The mechanism of action is nuclear retinoid X receptor (RXR) activation. The receptor subtype(s) are not explicitly stated in the abstract.,Positive Modulator
34023797,The receptor(s) are: alpha-7 nicotinic-acetyl-choline receptor (a7nAChR). The subtype(s) are: N/A. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: alpha-7 nicotinic-acetyl-choline receptor (a7nAChR) positive allosteric modulator.,Positive Modulator
20171784,"The receptor(s) are: estrogen. The subtype(s) are: estrogen receptors in the brain. The binding mode is: selective estrogen receptor modulator, with agonistic actions in the brain and antagonistic actions in breast tissue. Therefore the mechanism of action is: selective estrogen receptor modulator, targeting estrogen receptors in the brain.",Positive Modulator
28196430,The receptor(s) are: alpha7-nicotinic acetylcholine receptors. The subtype(s) are: N/A. The binding mode is: type I positive allosteric modulator. Therefore the mechanism of action is: alpha7-nicotinic acetylcholine receptors positive allosteric modulator.,Positive Modulator
29096426,The receptor(s) are: metabotropic glutamate receptor. The subtype(s) are: mGlu5. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: mGlu5 positive allosteric modulator.,Positive Modulator
34826568,The receptor(s) are: metabotropic glutamate receptor 5 (mGluR5). The subtype(s) are: N/A. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: mGluR5 positive allosteric modulator.,Positive Modulator
23768813,"The receptor(s) are: alpha-7 nicotinic acetylcholine receptor (α7 nAChR). The subtype(s) are: N/A. The binding mode is: agonist strategy with a positive allosteric modulator (galantamine). Therefore, the mechanism of action is: targeting alpha-7 nicotinic neurotransmission in schizophrenia by using an α7 nAChR agonist/PAM strategy.",Positive Modulator
33857028,"The mechanism of action and receptor subtype(s) targeted by isosorbide mononitrate (ISMN) is not provided in the article. However, the study aimed to test the efficacy of ISMN as a modulator of the glutamate/nitric oxide pathway in mediating the positive and negative symptoms of schizophrenia.",Positive Modulator
21537940,"The mechanism of action is: modulation of purinergic signaling, specifically adenosine reuptake inhibition. The receptor(s) are: adenosine A(2A) receptors and postsynaptic D(2) receptors. However, the study is focused on evaluating the effects of dipyridamole monotherapy (200 mg/day) and does not involve a specific drug being evaluated with a receptor subtype.",Positive Modulator
10583700,The receptor(s) are: glutamate. The subtype(s) are: N/A. The binding mode is: positive modulator. Therefore the mechanism of action is: glutamate receptor positive modulator.,Positive Modulator
25030803,"The receptor(s) are: GABAA and NMDA. The subtype(s) are: N/A. The binding mode is: neurosteroid that enhances GABAA receptor responses and positive modulator of NMDA receptor. Therefore, the mechanism of action is: pregnenolone elevates allopregnanolone (a neurosteroid that enhances GABAA receptor responses) and pregnenolone sulfate (a positive NMDA receptor modulator) to potentially mitigate GABA dysregulation and/or NMDA receptor hypofunction in schizophrenia via metabolism to other neurosteroids.",Positive Modulator
26187147,"There are no drugs being evaluated in this study, only a therapeutic technique (rTMS). Therefore, there is no mechanism of action or receptor subtype in relation to drug evaluation.",Positive Modulator
32851421,The receptor(s) are: nicotinic acetylcholine receptor. The subtype(s) are: α7. The binding mode is: agonist and positive allosteric modulator. Therefore the mechanism of action is: personalized α7 nicotinic acetylcholine receptor targeted treatment for the modulation of speech MMN indexed deviance detection.,Positive Modulator
26069170,The receptor(s) are: estrogen. The subtype(s) are: selective estrogen receptor modulators (SERMs). The binding mode is: estrogen receptor modulator. Therefore the mechanism of action is: estrogen receptor modulator (SERMs).,Positive Modulator
20615931,The receptor(s) are: NMDA. The subtype(s) are: glycine site. The binding mode is: positive allosteric modulator. Therefore the mechanism of action is: modulation of the glycine site of the NMDA receptor.,Positive Modulator
15689961,"There is no mention of any drug being evaluated in this article. Therefore, there is no mechanism of action or receptor subtype discussed in relation to any drug.",Positive Modulator
24741050,"The drug(s) being evaluated are: alprazolam, zolpidem, baclofen, and diazepam. The receptor(s) are: GABA-A and GABA-B. The subtype(s) are: α1, α2, α3, α5 (GABA-A) and GABABR (GABA-B). The binding mode is: allosteric-positive modulator (in the case of alprazolam and diazepam) and agonist (in the case of baclofen). Therefore the mechanisms of action are: GABA-A and GABA-B receptor modulators.",Positive Modulator
19369910,The article does not mention any specific drug being evaluated with a mechanism of action or receptor subtype. The study focuses on the relationship between DTNBP1 variation and the efficacy of clozapine and haloperidol in treating refractory schizophrenia.,Positive Modulator
30758327,The mechanism of action is: glutamate N-methyl-D-aspartate receptor (NMDAR) antagonist. The receptor(s) is/are: NMDA.,Positive Modulator
24154667,"The article does not mention any drugs being evaluated. Instead, it discusses the deficits in the GABA system and therapeutic interventions involving potentiation of GABA receptors to treat negative affect in schizophrenia.",Positive Modulator
35231791,"There are no drugs being evaluated in this article. The intervention being studied is intermittent theta burst stimulation (iTBS), a form of transcranial magnetic stimulation.",Positive Modulator
36182772,"There is no drug being evaluated in this study. The intervention is bilateral bipolar-nonbalanced frontal transcranial Direct Current Stimulation (tDCS), which is a non-pharmacological approach to improve negative symptoms and neurocognition in schizophrenia.",Positive Modulator
25829142,"The receptor(s) are: estrogen. The subtype(s) are: selective estrogen receptor modulator (SERM). The binding mode is: modulation. Therefore the mechanism of action is: estrogen receptor modulation. Specifically, the drug being evaluated is raloxifene, which is a SERM that targets estrogen receptors.",Positive Modulator
11685384,"There is no specific drug mentioned in the article, but it discusses the influence of symptom improvement and atypical neuroleptics on the amplitudes of the P300 and their subcomponents in schizophrenic patients. The article does not mention any mechanism of action or receptor subtypes that the drugs are being evaluated with.",Positive Modulator
26444072,"The article mentions that ITI-007 has a pharmacologic profile that combines dose-related monoamine modulation with phosphorylation of intracellular signaling proteins, but it does not specifically state the target receptor subtype(s) for the drug.",Positive Modulator
19074541,The mechanism of action is related to the modulating effect of lamotrigine on glutamatergic neurotransmission. The target receptor subtype(s) are not specified in the abstract.,Positive Modulator
21903021,The receptor(s) are: estrogen. The subtype(s) are: selective estrogen receptor modulator. The binding mode is: modulator. Therefore the mechanism of action is: modulation of estrogen receptors.,Positive Modulator
20541910,The receptor(s) are: N-methyl-d-aspartate (NMDA). The subtype(s) are: N/A. The binding mode is: allosteric modulator. Therefore the mechanism of action is: NMDA receptor allosteric modulator.,Positive Modulator
11278160,The drug(s) being evaluated is estrogen. The mechanism of action is the modulation of both dopamine and serotonin neurotransmitter systems. The receptor subtype(s) are not specified in the article.,Positive Modulator
21185903,The article does not mention any specific drugs or mechanisms of action related to treatment of schizophrenia. It discusses the effect of antipsychotic medication on neural networks during a motor task in patients with schizophrenia.,Positive Modulator
32215727,There are no drugs being evaluated in this article. The study explores the therapeutic effects of metacognitive training in schizophrenia and the brain regions associated with these effects through regional homogeneity analysis.,Positive Modulator
24705203,"There are no drugs being evaluated in this article, so there are no mechanisms of action or receptor subtypes mentioned.",Positive Modulator
25245814,"The drugs being evaluated are baclofen, a GABABR agonist, and diazepam, a positive modulator at GABAARs. The mechanism of action targets GABAB-receptors and GABA-A receptors. The subtype is GABABR and GABAAR. The binding mode for baclofen is agonist and for diazepam is positive modulator. Therefore the mechanism of action is GABABR-mediated cortical inhibition and GABAAR-mediated inhibition.",Positive Modulator
15705007,"The mechanism of action is the inhibition of xanthine oxidase. The target of the chemical reaction is the endogenous pool of purines, including the neuro-modulator adenosine. There is no specific receptor subtype mentioned in the article.",Positive Modulator
32964381,"There is no drug being evaluated in this study, as it is evaluating the effects of trans-cranial magnetic stimulation (TMS) on specific brain regions in treatment-resistant schizophrenia.",Positive Modulator
26591005,The receptor(s) are: estrogen. The subtype(s) are: selective estrogen receptor modulator. The binding mode is: not specified. Therefore the mechanism of action is: estrogen receptor modulation.,Positive Modulator
32203751,"There is no drug being evaluated in this article as it is studying the effects of computerized cognitive remediation therapy (CCRT) on social and cognitive functioning in patients with schizophrenia. Therefore, there is no target receptor or mechanism of action involved with a drug.",Positive Modulator
